facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,entity,bond_station,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley,Entity_BS_X_Y
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300001,9,,DIA001,2,5,1,2,-104.048,49.4282,DIA001_2_5_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300002,9,,DIA001,2,3,1,2,63.0879,-8.97953,DIA001_2_3_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300003,9,,DIA001,2,4,1,2,-17.0041,-7.91369,DIA001_2_4_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300004,9,,DIA001,2,0,1,2,4.7877,68.9059,DIA001_2_0_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300005,9,,DIA001,2,2,1,2,60.3359,114.801,DIA001_2_2_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300006,9,,DIA001,2,1,1,2,139.724,146.372,DIA001_2_1_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300007,9,,DIA001,2,5,2,2,44.0573,229.724,DIA001_2_5_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300008,9,,DIA001,2,5,0,2,15.3848,-158.609,DIA001_2_5_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300009,9,,DIA001,2,6,2,2,-77.6044,65.357,DIA001_2_6_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300010,9,,DIA001,2,6,0,2,-68.6123,-82.0402,DIA001_2_6_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300011,7,,DIA001,3,5,2,1,68.3737,-36.4633,DIA001_3_5_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300012,8,,DIA001,4,3,2,2,123.886,127.874,DIA001_4_3_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300013,7,,DIA001,3,6,2,1,-59.8199,51.5867,DIA001_3_6_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300014,7,,DIA001,3,5,0,1,71.1109,-155.195,DIA001_3_5_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300015,8,,DIA001,4,4,2,2,19.9285,186.058,DIA001_4_4_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300016,7,,DIA001,3,6,0,1,71.9511,-296.286,DIA001_3_6_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300017,7,,DIA001,3,4,2,1,-96.5298,-22.3437,DIA001_3_4_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300018,8,,DIA001,4,2,0,2,-22.3327,54.2702,DIA001_4_2_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300019,7,,DIA001,3,4,0,1,-56.8209,-248.242,DIA001_3_4_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300020,3,,DIA001,3,2,1,1,12.31,-.740877,DIA001_3_2_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300021,8,,DIA001,4,3,0,2,29.4756,-101.081,DIA001_4_3_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300022,3,,DIA001,3,1,0,1,-111.453,-162.603,DIA001_3_1_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300023,3,,DIA001,3,1,2,1,-51.7882,160.988,DIA001_3_1_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300024,8,,DIA001,4,0,2,2,10.2605,75.6071,DIA001_4_0_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300025,3,,DIA001,3,2,0,1,-46.2043,-105.739,DIA001_3_2_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300026,8,,DIA001,4,2,1,2,-49.0658,153.857,DIA001_4_2_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300027,8,,DIA001,4,1,0,2,-98.9911,-79.0441,DIA001_4_1_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300028,8,,DIA001,4,4,1,2,15.3206,44.7405,DIA001_4_4_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300029,8,,DIA001,4,1,1,2,-16.8334,3.36057,DIA001_4_1_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300030,9,,DIA001,2,6,1,2,38.3651,-1.52488,DIA001_2_6_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300031,8,,DIA001,4,3,1,2,117.358,99.3557,DIA001_4_3_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300032,8,,DIA001,4,5,2,2,36.6044,195.861,DIA001_4_5_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300033,8,,DIA001,4,2,2,2,-131.875,-28.9574,DIA001_4_2_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300034,8,,DIA001,4,6,0,2,23.6092,-71.8467,DIA001_4_6_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300035,8,,DIA001,4,4,0,2,-2.7654,-46.486,DIA001_4_4_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300036,8,,DIA001,4,1,2,2,-82.5481,206.743,DIA001_4_1_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300037,8,,DIA001,4,0,1,2,-63.5114,90.0759,DIA001_4_0_1
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300038,8,,DIA001,4,6,2,2,-74.2084,119.303,DIA001_4_6_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300039,8,,DIA001,4,0,0,2,19.4138,96.4431,DIA001_4_0_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300040,8,,DIA001,4,5,0,2,54.667,-106.785,DIA001_4_5_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300041,1,,DIA001,4,1,2,2,13.2664,242.529,DIA001_4_1_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300042,3,,DIA001,3,3,2,1,16.5323,50.103,DIA001_3_3_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300043,1,,DIA001,4,2,2,2,76.3743,140.763,DIA001_4_2_2
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300044,1,,DIA001,4,1,0,2,-10.2815,-98.4788,DIA001_4_1_0
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300045,3,,DIA001,3,3,0,1,-67.7689,-271.012,DIA001_3_3_0
