site_work_week,lot,operation,out_date,route,owner,oldqty1,newqty1,entity,prodgroup3,facility
202628,7627F114,1960,2026-07-07 03:24:16,HWL-APO01,PROD,1344,1344,DIA003,HWL,A15
202628,7627D510,2090,2026-07-07 03:24:20,SFH-APO01,PROD,448,448,DIA013,SFHD2S,A15
202628,7627D547,2090,2026-07-07 04:53:59,SFH-APO01,PROD,361,361,DIA013,SFHD2S,A15
202628,7627G011,2090,2026-07-07 04:54:18,M4G-APO02,PROD,448,448,DIA005,M4G,A15
202628,7627D667,2090,2026-07-07 08:44:24,SFH-APO01,PROD,445,445,DIA013,SFHD2S,A15
202628,7627F715,2090,2026-07-07 10:14:31,GUC-APO01,PROD,335,335,DIA015,GNRUCC,A15
202628,7627F958,2090,2026-07-07 03:14:30,M4G-APO02,PROD,447,446,DIA005,M4G,A15
202628,7627F954,2090,2026-07-07 03:34:16,GUC-APO01,PROD,336,336,DIA018,GNRUCC,A15
202628,7627F765,1960,2026-07-07 03:44:16,AXL-APO02,PROD,1638,1638,DIA001,AXLF,A15
202628,7627G027,1960,2026-07-07 04:54:43,AXL-APO02,PROD,1107,1107,DIA001,AXLF,A15
202628,7627F718,2090,2026-07-07 06:14:10,GUC-APO01,PROD,336,336,DIA018,GNRUCC,A15
202628,7627F936,1960,2026-07-07 06:33:49,EBG-APO01,PROD,2352,2350,DIA017,EBG,A15
202628,7627F939,1960,2026-07-07 04:54:00,EBG-APO01,PROD,2352,2352,DIA017,EBG,A15
202628,7627D728,1960,2026-07-07 05:44:17,HWL-APO01,PROD,1342,1342,DIA003,HWL,A15
202628,7627G211,2090,2026-07-07 08:04:00,EXP-APO02,PROD,654,654,DIA008,EMRXCP,A15
202628,7627D506,1960,2026-07-07 08:13:57,HWL-APO01,PROD,1343,1343,DIA003,HWL,A15
202628,7627F600,2090,2026-07-07 09:23:56,GUC-APO01,PROD,336,336,DIA018,GNRUCC,A15
202628,7626G193,1960,2026-07-07 09:43:59,DNV-APO02,HDOE,220,220,DIA001,DNV,A15
202628,7626G192,1960,2026-07-07 10:04:03,DNV-APO02,HDOE,219,219,DIA001,DNV,A15
202628,7627F766,1960,2026-07-07 02:54:01,AXL-APO02,PROD,1638,1638,DIA001,AXLF,A15
202628,7627F779,2090,2026-07-07 06:53:54,GUC-APO01,PROD,336,336,DIA015,GNRUCC,A15
202628,7627F699,1960,2026-07-07 03:34:37,EBG-APO01,PROD,2352,2352,DIA017,EBG,A15
202628,7627G026,1960,2026-07-07 05:24:19,AXL-APO02,PROD,529,528,DIA001,AXLF,A15
202628,7627D185,1960,2026-07-07 09:14:10,DNV-APO02,PROD,1250,1250,DIA001,DNV,A15
202628,7627F778,2090,2026-07-07 09:43:58,GUC-APO01,PROD,335,335,DIA016,GNRUCC,A15
202628,7627G108,2090,2026-07-07 05:54:14,EXP-APO02,PROD,485,482,DIA008,EMRXCP,A15
202628,7627D808,2090,2026-07-07 06:53:58,SFH-APO01,PROD,447,447,DIA013,SFHD2S,A15
202628,7627F935,1960,2026-07-07 08:24:17,EBG-APO01,PROD,1279,1279,DIA017,EBG,A15
202628,7627G020,2090,2026-07-07 08:24:21,M4G-APO02,PROD,448,446,DIA005,M4G,A15
202628,7627G198,2090,2026-07-07 09:53:59,M4G-APO02,PROD,448,448,DIA005,M4G,A15
202628,7627F764,1960,2026-07-07 04:24:04,AXL-APO02,PROD,1114,1114,DIA001,AXLF,A15
202628,7627F421,1960,2026-07-07 05:34:39,AXL-APO02,PROD,109,109,DIA001,AXLF,A15
202628,7627D947,1960,2026-07-07 06:34:02,HWL-APO01,PROD,595,595,DIA003,HWL,A15
202628,7627G086,2090,2026-07-07 04:04:42,EXP-APO02,PROD,77,77,DIA008,EMRXCP,A15
202628,7627D730,1960,2026-07-07 04:33:58,HWL-APO01,PROD,1343,1343,DIA003,HWL,A15
202628,7627F951,2090,2026-07-07 05:04:14,GUC-APO01,PROD,336,336,DIA016,GNRUCC,A15
202628,7627F110,1960,2026-07-07 09:14:27,HWL-APO01,PROD,1200,1200,DIA003,HWL,A15
202628,7627F937,1960,2026-07-07 09:34:49,EBG-APO01,PROD,2352,2352,DIA017,EBG,A15
202628,7626X194,1960,2026-07-07 10:24:00,DNV-APO02,HDOE,220,220,DIA001,DNV,A15
