LOT,DUMMY,prodgroup3,DLA_operation,lot_1,Current_operation,movedin,Lot_MVIN_CURE,movein_date,entity,facility,visual_id,bond_station,carrier_x,carrier_y,onrework,onhold,route,quantity,sub_plane_x,sub_plane_y,lower_x_limit,upper_x_limit,lower_y_limit,upper_y_limit,entity_bs_x_y
DUMMY,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,
7141G285,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D217,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D268,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D314,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D331,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D365,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D380,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D395,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D428,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D446,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7143D628,,CLXXCP,1960,,,,Y,,DIA013,,,,,,,,,,,,,,,,
7201D858,,CLXXCP,1960,7201D858,8726,N,Y,,DIA010,,,,,,,,,,,,,,,,
7201D869,,CLXXCP,1960,7201D869,8726,Y,Y,2021-12-30 14:52:03,DIA010,,,,,,,,,,,,,,,,
7201D920,,CLXXCP,1960,7201D920,0011,N,Y,,DIA010,,,,,,,,,,,,,,,,
7202F003,,CLXXCP,1960,7202F003,2151,N,Y,,DIA010,A15,,,,,,,,,,,,,,,
7207D028,,BDXDE16C,1960,7207D028,2171,N,Y,,DIA006,A15,,,,,,,,,,,,,,,
7207H325,,BDXDE8C,1960,7207H325,2171,N,Y,,DIA006,A15,72VQ794200949,1,0,2,,,,,,,,,,,
7208C188,,BDXDE8C,1960,7208C188,2171,N,Y,,DIA006,A15,72KB338700781,3,0,2,,,,,,,,,,,
7207H323,,BDXDE8C,1960,7207H323,2171,N,Y,,DIA006,A15,72VQ794201684,3,0,2,,,,,,,,,,,
7210C340,,CLXXCP,1960,7210C340,2151,N,Y,,DIA010,A15,72UL911501042,1,3,0,,,,,,,,,,,
7210C340,,CLXXCP,1960,7210C340,2151,N,Y,,DIA010,A15,72UL911501034,1,3,0,,,,,,,,,,,
7210C340,,CLXXCP,1960,7210C340,2151,N,Y,,DIA010,A15,72UL911500787,1,0,0,,,,,,,,,,,
7210C696,,CLXXCP,1960,7210C696,0011,N,Y,,DIA010,A15,72U22V8501082,1,3,0,,,,,,,,,,,
7210C696,,CLXXCP,1960,7210C696,0011,N,Y,,DIA010,A15,72U22V8500126,1,3,0,,,,,,,,,,,
7210C696,,CLXXCP,1960,7210C696,0011,N,Y,,DIA010,A15,72U22V8500634,3,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y301620,1,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y300842,1,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y300838,3,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y301110,1,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y300602,3,3,0,,,,,,,,,,,
7210C588,,CLXXCP,1960,7210C588,0011,N,Y,,DIA010,A15,722C25Y301128,1,3,0,,,,,,,,,,,
7210C810,,CLXXCP,1960,7210C810,2151,N,Y,,DIA010,A15,72C16P2000754,3,3,0,,,,,,,,,,,
7210C810,,CLXXCP,1960,7210C810,2151,N,Y,,DIA010,A15,72C16P2000472,1,3,0,,,,,,,,,,,
7210C810,,CLXXCP,1960,7210C810,2151,N,Y,,DIA010,A15,72C16P2001022,3,3,0,,,,,,,,,,,
7210D425,,LBGSD,1960,7210D425,2176,N,Y,,DIA002,A15,72PR750102129,3,4,2,,,,,,,,,,,
7211D023,,LBGSD,1960,7211D023,2171,N,Y,,DIA002,A15,72VV082505956,3,3,2,,,,,,,,,,,
7211F758,,LBGNS,1960,7211F758,2176,N,Y,,DIA002,A15,726E1Y9501204,1,0,0,,,,,,,,,,,
7218G166,,LBGSD,1960,7218G166,1440,N,Y,,DIA001,A15,72T93Y0905924,3,5,0,,,,,,,,,,,
7218G166,,LBGSD,1960,7218G166,1440,N,Y,,DIA001,A15,72T93Y0906279,1,5,0,,,,,,,,,,,
7218G166,,LBGSD,1960,7218G166,1440,N,Y,,DIA001,A15,72T93Y0905834,3,5,0,,,,,,,,,,,
7221H522,,AXLF,1960,7221H522,1440,Y,Y,2022-05-23 20:02:00,DIA003,A15,72PX587901124,4,5,2,,,,,,,,,,,
7221H522,,AXLF,1960,7221H522,1440,Y,Y,2022-05-23 20:02:00,DIA003,A15,72PX587901130,4,6,2,,,,,,,,,,,
7226D357,,LBGSD,1960,7226D357,2176,N,Y,,DIA001,A15,72SA688402831,3,5,0,,,,,,,,,,,
7229G627,,AXLF,1960,7229G627,2176,N,Y,,DIA003,A15,72W64R2700687,4,3,0,,,,,,,,,,,
7229G627,,AXLF,1960,7229G627,2176,N,Y,,DIA003,A15,72W64R2705393,1,6,2,,,,,,,,,,,
