SITE,PRODGROUP3,UPPER_Y_LIMIT,LOWER_Y_LIMIT,UPPER_X_LIMIT,LOWER_X_LIMIT,Remarks
A01,BPH,500,-500,300,-300,
A01,BPM,500,-500,300,-300,
A01,CLX64L,500,-500,400,-400,
A01,CLXHCP,500,-500,400,-400,
A01,CLXJTC,500,-500,400,-400,
A01,CLXSHR,450,-500,240,-240,
A01,CLXXCP,500,-500,400,-400,
A01,CPXXCP,275,-275,300,-300,
A01,ICXXCP,200,-200,300,-300,
A01,PVC1SS,300,-300,250,-250,
A01,PVC2SK,300,-300,250,-250,
A01,PVC2SS,300,-300,250,-250,
A01,PVCXT2,300,-300,250,-250,
A01,SKXHCC,500,-500,400,-400,
A01,SKXLCR,500,-500,275,-275,
A01,SKXXCC,500,-500,400,-400,
A01,SPR112,450,-450,150,-150,
A01,SPRXCP,450,-450,150,-150,
A01,SPRXCS,450,-450,150,-150,
A06,CPXXCP,275,-275,300,-300,
A06,EMRXCP,350,-350,150,-300,
A06,GNRUCC,225,-225,200,-200,
A06,ICXHCP,200,-200,250,-250,
A06,ICXHJT,200,-200,250,-250,
A06,ICXXCP,200,-200,300,-300,
A06,ICXXJT,200,-200,300,-300,
A06,SPRMCP,1000,-1000,300,-300,
A06,SPRXCP,450,-450,150,-150,
A06,EMRMCP,1000,-1000,400,-400,
A06,SFHDCC,1000,-1000,300,-300,
A15,AXLF,500,-500,200,-200,
A15,BDXDE16C,600,-600,400,-400,
A15,BDXDE8C,700,-700,400,-400,
A15,BNS,700,-700,400,-400,
A15,CLXLCP,250,-250,350,-350,
A15,CLXXCP,500,-500,400,-400,
A15,DNA,500,-500,200,-200,
A15,DNV,500,-500,200,-200,
A15,EBG,700,-700,500,-500,
A15,EMRXCP,350,-350,150,-300,
A15,GNRUCC,225,-225,200,-200,
A15,HWL,700,-700,400,-400,
A15,ICXHCP,200,-200,250,-250,
A15,ICXHJT,200,-200,250,-250,
A15,ICXXCP,200,-200,300,-300,
A15,ICXXJT,200,-200,300,-300,
A15,LBGAD,500,-500,200,-200,
A15,LBGNS,500,-500,200,-200,
A15,LBGSD,500,-500,200,-200,
A15,SFHDCC,1000,-1000,300,-300,
A15,SHD,800,-800,300,-300,
A15,SKXLCC,250,-250,350,-350,
A15,SPREEC,1000,-1000,300,-300,
A15,SPREMC,1000,-1000,300,-300,
A15,SPRHSK,200,-200,100,-100,
A15,SPRHSS,200,-200,100,-100,
A15,SPRMCP,1000,-1000,300,-300,
A15,SPRMJT,1000,-1000,300,-300,
A15,SPRXCP,450,-450,150,-150,
A15,SPRXCS,450,-450,150,-150,
A15,WLW,650,-650,250,-250,
A15,SFXDCC,180,-180,200,-200,
A15,MGR,300,-300,300,-300,
A15,GNDHCC,700,-750,300,-300,
A15,CYP,250,-250,120,-120,
A15,GNRHCC,1000,-1000,300,-300,
A15,GNRLCP,1000,-1000,300,-300,
A15,M4G,200,-700,200,-400,
A15,GNRHCH,1000,-1000,300,-300,
A15,GHCSWS,1000,-1000,300,-300,
A15,GHCR1S,1000,-1000,300,-300,
A15,GNRLWS,1000,-1000,300,-300,
A15,GNRLR1S,1000,-1000,300,-300,
A15,GNDXCC,600,-600,600,-450,
A15,SFHD1S,1000,-1000,300,-300,
A15,SFHD2S,1000,-1000,300,-300,
A48,SPRXCS,450,-450,150,-150,
A48,RSLXCP,500,-500,500,-500,
A48,RSLLCP,500,-500,500,-500,
A48,RSLHCP,500,-500,500,-500,
A90,ICXHCP,200,-200,250,-250,
A90,ICXXCP,200,-200,300,-300,
A90,SPRXCS,450,-450,150,-150,
A90,EMRXCP,350,-350,150,-300,
A90,GNDHCC,700,-750,300,-300,
A90,EMRMCP,1000,-1000,400,-400,
A90,SPRMCP,1000,-1000,300,-300,
A90,GNRHCC,1000,-1000,300,-300,
A90,GNRLWS,1000,-1000,300,-300,
A90,GNRLCP,1000,-1000,300,-300,
A90,GHCR1S,1000,-1000,300,-300,
A90,GHCSWS,1000,-1000,300,-300,
A90,GNRHCH,1000,-1000,300,-300,
A90,GNRLR1S,1000,-1000,300,-300,
A90,SPRWSP,1000,-1000,300,-300,
A90,SPR12S,450,-450,150,-150,
A15,LWC,200,-700,200,-400,
A15,CWFXDCC,225,-225,200,-200,
