Prod,Operator,Link,Bonder,Lot,out_date,visual_id,Loss_Code
SHD,mabdulwa,TCB006,,7619C786,2026-05-04 07:31:10,76Y51V2601690,
SHD,mabdulwa,TCB006,,7619C786,2026-05-04 07:31:10,76Y51V2601690,
SHD,mmohdbaw,TCB006,,7619F262,2026-05-08 17:55:02,76GS261301269,
SHD,mmohdbaw,TCB006,,7619F262,2026-05-08 17:55:02,76GS261301274,
SHD,mmohdbaw,TCB006,,7619F262,2026-05-08 17:55:02,76GS261301276,
SHD,mmohdbaw,TCB006,,7619F262,2026-05-08 17:55:02,76GS261301277,
SHD,mmohdbaw,TCB006,,7619F262,2026-05-08 17:55:02,76GS261301282,
SHD,norharya,TCB006,,7619C531,2026-05-03 17:16:35,76HG924300248,
SHD,norharya,TCB006,,7619C531,2026-05-03 17:16:35,76HG924300381,
SHD,nurhida1,TCB006,,7618F536,2026-05-01 05:23:12,76GM469400086,
SHD,nurhida1,TCB006,,7618F536,2026-05-01 05:23:12,76GM469400086,
