environment_name,module_name,pcg,site_name,entity,recipe_version,pcg_1,parameter_name,parameter_value,entity_1,link,operation,site,pcg_op
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00009,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00009,A90_TCB203,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00010,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00010,A90_TCB203,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00011,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00011,A90_TCB203,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00012,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00012,A90_TCB203,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00013,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00013,A90_TCB204,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00014,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00014,A90_TCB204,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00015,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00015,A90_TCB204,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00016,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00016,A90_TCB204,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00017,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00017,A90_TCB205,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00018,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00018,A90_TCB205,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00019,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00019,A90_TCB205,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00020,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00020,A90_TCB205,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00021,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00021,A90_TCB206,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00022,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00022,A90_TCB206,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00023,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00023,A90_TCB206,1204,A90,ADL P282_1204
PROD CPU,TCB,ADL P282,CHENGDU6;SAIGON;CHENGDU;,A90_AFB00024,129,ADL P282,POST_LOT_TEST_PLAN,74_ADL_P282_TCB_DCP,A90_AFB00024,A90_TCB206,1204,A90,ADL P282_1204
