operation,PCG,A01,A15,A48,A90,New_Flag
1204,ADL S601,66,,"111,112",111,1
1204,Alder Lake S,123,,"156,157",155,1
1204,APOLLONIA1 ND5 2397C TPS,"57,58",,,,1
1204,APOLLONIA4 ND2 1760 TPS,"90,91",,,,1
1204,ARL S681-N3B,,,85,84,1
1204,ARL S816 LGA NON SOD,,,"89,90",83,1
1204,ARL U281 STACKED,,,"60,61",61,1
1204,Cascade Lake LCC SKTP,54,56,,,1
1204,Emerald Rapids MCC,,,,"36,37",1
1204,EMERALD RAPIDS SP XCC,,"74,85,86,87",,84,1
1204,GNR SP HCC,,28,,29,1
1204,GNR SP LCC,,30,,"33,34",1
1204,ICE LAKE XCC SERVER THIN,84,121,,123,1
1204,Mount Evans,,"79,102","102,103",,1
1204,MTL P682 STACKED,293,,297,"272,298",1
1204,Panther Lake U404,41,,34,41,1
1204,Raptor Lake P682,80,,151,152,1
1204,Raptor Lake PS682,,,22,24,1
1204,Roseland MCP XCC,,,"18,21",,1
1204,RPL P282,,,"110,111","110,112",1
1204,RPL S8161 370UM,"153,154",,,148,1
1204,SAPPHIRE RAPIDS MCC,,,,"89,90",1
1204,SPR XCC SPLIT SOLDER,,,"108,115",122,1
2511,SQUARE HILL MICRON_2511,,"9,11",,,1
1204,WildCatLake,,,"34,35",33,1
