facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300001,9,,5,1,2,-104.048,49.4282
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300002,9,,3,1,2,63.0879,-8.97953
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300003,9,,4,1,2,-17.0041,-7.91369
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300004,9,,0,1,2,4.7877,68.9059
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300005,9,,2,1,2,60.3359,114.801
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300006,9,,1,1,2,139.724,146.372
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300007,9,,5,2,2,44.0573,229.724
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300008,9,,5,0,2,15.3848,-158.609
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300009,9,,6,2,2,-77.6044,65.357
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300010,9,,6,0,2,-68.6123,-82.0402
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300011,7,,5,2,1,68.3737,-36.4633
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300012,8,,3,2,2,123.886,127.874
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300013,7,,6,2,1,-59.8199,51.5867
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300014,7,,5,0,1,71.1109,-155.195
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300015,8,,4,2,2,19.9285,186.058
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300016,7,,6,0,1,71.9511,-296.286
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300017,7,,4,2,1,-96.5298,-22.3437
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300018,8,,2,0,2,-22.3327,54.2702
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300019,7,,4,0,1,-56.8209,-248.242
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300020,3,,2,1,1,12.31,-.740877
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300021,8,,3,0,2,29.4756,-101.081
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300022,3,,1,0,1,-111.453,-162.603
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300023,3,,1,2,1,-51.7882,160.988
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300024,8,,0,2,2,10.2605,75.6071
